user.ibragimo.17073931.Bmumu._000001_skimmed.root
Total Entries:
HLT_mu11_mu6_bDimu2700 155
HLT_mu11_mu6_bDimu2700_L1LFV-MU11 154
HLT_mu11_mu6_bDimu2700_Lxy0 44
HLT_mu11_mu6_bDimu2700_Lxy0_L1LFV-MU11 44
HLT_mu11_mu6_bDimu_L1LFV-MU11 4283
HLT_mu11_mu6_bDimu_Lxy0 2445
HLT_mu11_mu6_bDimu_Lxy0_L1LFV-MU11 2445
HLT_mu11_mu6_bDimu_noinvm_novtx_ss 1
HLT_mu11_mu6_bDimu_noinvm_novtx_ss_L1LFV-MU11 4
HLT_mu11_mu6_bDimu_novtx_noos 11
HLT_mu11_mu6_bDimu_novtx_noos_L1LFV-MU11 19
HLT_mu11_mu6_bJpsimumu 61
HLT_mu11_mu6_bJpsimumu_L1LFV-MU11 61
HLT_mu11_mu6_bJpsimumu_Lxy0 46
HLT_mu11_mu6_bJpsimumu_Lxy0_L1LFV-MU11 46
HLT_mu11_mu6_bNocut 1
HLT_mu11_mu6_bNocut_L1LFV-MU11 10
HLT_mu11_mu6_bPhi 11
HLT_mu11_mu6_bPhi_L1LFV-MU11 9
HLT_mu11_mu6_bTau 180
HLT_mu11_mu6_bTau_L1LFV-MU11 179
HLT_mu11_mu6_bUpsimumu 10
HLT_mu11_mu6_bUpsimumu_L1LFV-MU11 10
HLT_mu11_mu6noL1_bNocut_L1MU11_2MU6 5
HLT_mu11_mu6noL1_bPhi_L1MU11_2MU6 4
HLT_mu13_mu13_idperf_Zmumu 5
HLT_mu14 3
HLT_mu14_3j20_L1MU10_3J20 1
HLT_mu14_iloose_tau25_perf_tracktwo 3
HLT_mu14_ivarloose_3j20_L1MU10_3J20 21
HLT_mu14_ivarloose_L1MU11_tau35_medium1_tracktwoEF_L1MU11_TAU20IM 12
HLT_mu14_ivarloose_L1MU11_tau35_medium1_tracktwo_L1MU11_TAU20IM 12
HLT_mu14_ivarloose_L1MU11_tau35_mediumRNN_tracktwoMVA_L1MU11_TAU20IM 7
HLT_mu14_ivarloose_tau25_medium1_tracktwo 9
HLT_mu14_ivarloose_tau25_medium1_tracktwoEF 9
HLT_mu14_ivarloose_tau25_medium1_tracktwoEF_L1DR-MU10TAU12I_TAU12I-J25 9
HLT_mu14_ivarloose_tau25_medium1_tracktwoEF_L1MU10_TAU12IM_3J12 4
HLT_mu14_ivarloose_tau25_medium1_tracktwoEF_xe50 1
HLT_mu14_ivarloose_tau25_medium1_tracktwo_L1DR-MU10TAU12I_TAU12I-J25 9
HLT_mu14_ivarloose_tau25_medium1_tracktwo_L1MU10_TAU12IM 3
HLT_mu14_ivarloose_tau25_medium1_tracktwo_L1MU10_TAU12IM_3J12 4
HLT_mu14_ivarloose_tau25_medium1_tracktwo_xe50 1
HLT_mu14_ivarloose_tau25_mediumRNN_tracktwoMVA 8
HLT_mu14_ivarloose_tau25_mediumRNN_tracktwoMVA_L1DR-MU10TAU12I_TAU12I-J25 9
HLT_mu14_ivarloose_tau25_mediumRNN_tracktwoMVA_L1MU10_TAU12IM_3J12 2
HLT_mu14_ivarloose_tau25_mediumRNN_tracktwoMVA_xe50 1
HLT_mu14_ivarloose_tau35_medium1_tracktwo 12
HLT_mu14_ivarloose_tau35_medium1_tracktwoEF 12
HLT_mu14_ivarloose_tau35_medium1_tracktwoEF_L1MU10_TAU20IM_J25_2J20 6
HLT_mu14_ivarloose_tau35_medium1_tracktwo_L1MU10_TAU20IM_J25_2J20 6
HLT_mu14_ivarloose_tau35_mediumRNN_tracktwoMVA 7
HLT_mu14_ivarloose_tau35_mediumRNN_tracktwoMVA_L1MU10_TAU20IM_J25_2J20 1
HLT_mu14_tau25_medium1_tracktwoEF_xe50 12
HLT_mu14_tau25_medium1_tracktwo_xe50 11
HLT_mu14_tau25_mediumRNN_tracktwoMVA_xe50 11
HLT_mu20_2mu2noL1_JpsimumuFS 16
HLT_mu20_2mu4_JpsimumuL2 24
HLT_mu20_2mu4noL1 174
HLT_mu20_idperf 2
HLT_mu20_ivarmedium_L1MU10_2J15_J20 63
HLT_mu20_ivarmedium_L1MU10_2J20 42
HLT_mu20_ivarmedium_mu8noL1 217
HLT_mu20_msonly 1
HLT_mu20_msonly_iloosems_mu6noL1_msonly_nscan05_L1MU20_J40 54
HLT_mu20_msonly_iloosems_mu6noL1_msonly_nscan05_L1MU20_XE30 58
HLT_mu20_msonly_mu6noL1_msonly_nscan05 5
HLT_mu20_mu6btrk_bTauTight 36
HLT_mu20_mu6noL1_bNocut 8
HLT_mu20_mu6noL1_bTau 43
HLT_mu22_2mu4noL1 134
HLT_mu22_mu8noL1 601
HLT_mu22_mu8noL1_TagandProbe 601
HLT_mu22_mu8noL1_mu6noL1 53
HLT_mu24 14
HLT_mu24_2mu4noL1 107
HLT_mu24_mu10noL1 358
HLT_mu24_mu12noL1 277
HLT_mu24_mu8noL1 484
HLT_mu26_2j20noL1 2
HLT_mu26_3j20noL1 3
HLT_mu26_4j15noL1 3
HLT_mu26_5j15noL1 3
HLT_mu26_ivarmedium 218
HLT_mu26_ivarmedium_2j35_boffperf_split 1
HLT_mu26_ivarmedium_j110_gsc150_boffperf_split_j35_boffperf_split 6
HLT_mu26_ivarmedium_j150_boffperf_split_j35_boffperf_split 6
HLT_mu26_ivartight 214
HLT_mu26_mu10noL1 292
HLT_mu26_mu8noL1 394
HLT_mu28_ivarmedium 178
HLT_mu28_ivartight 174
HLT_mu28_mu8noL1 326
HLT_mu4_bJpsi_TrkPEB 1
HLT_mu4_j15_boffperf_split_dr05_dz02 1
HLT_mu4_j25_boffperf_split_dr05_dz02 1
HLT_mu4_j35_boffperf_split 1
HLT_mu4_j35_boffperf_split_dr05_dz02 1
HLT_mu4_j35_boffperf_split_dr05_dz99 1
HLT_mu4_j70_j50_0eta490_invm1000j50_dphi28_xe50_pufit_L1MJJ-500-NFF 11
HLT_mu4_j70_j50_0eta490_invm1000j50_dphi28_xe50_pufit_L1MJJ-700 11
HLT_mu4_j70_j50_0eta490_invm1000j50_xe50_pufit_L1MJJ-500-NFF 27
HLT_mu4_j70_j50_0eta490_invm1000j50_xe50_pufit_L1MJJ-700 20
HLT_mu4_j90_xe90_pufit_2dphi10_L1MU4_J50_XE50_DPHI-J20s2XE30 41
HLT_mu4_j90_xe90_pufit_2dphi10_L1MU4_XE60 46
HLT_mu4_mu4_idperf_bJpsimumu_noid 19
HLT_mu50 111
HLT_mu60 60
HLT_mu60_0eta105_msonly 20
HLT_mu6_2mu4_bDimu2700 293
HLT_mu6_2mu4_bDimu6000 1584
HLT_mu6_2mu4_bJpsi 186
HLT_mu6_2mu4_bTau_L1MU6_3MU4 23
HLT_mu6_2mu4_bUpsi 86
HLT_mu6_bJpsi_TrkPEB 1
HLT_mu6_bJpsi_lowpt_TrkPEB 1
HLT_mu6_dRl1_mu20_msonly_iloosems_mu6noL1_dRl1_msonly 26
HLT_mu6_j110_gsc150_boffperf_split 2
HLT_mu6_j175_gsc260_boffperf_split_dr05_dz02 1
HLT_mu6_j225_gsc320_boffperf_split_dr05_dz02 5
HLT_mu6_j225_gsc320_boffperf_split_dr05_dz99 5
HLT_mu6_j225_gsc400_boffperf_split_dr05_dz02 4
HLT_mu6_j60_gsc85_boffperf_split_dr05_dz02 1
HLT_mu6_j85_gsc110_boffperf_split_dr05_dz02 4
HLT_mu6_mu2noL1_msonly_bJpsimumu_noid_PEB 21
HLT_mu6_mu4_bBmumu_L1BPH-2M9-MU6MU4_BPH-0DR15-MU6MU4 1647
HLT_mu6_mu4_bBmumu_Lxy0_L1BPH-2M9-MU6MU4_BPH-0DR15-MU6MU4 17340
HLT_mu6_mu4_bBmumux_BpmumuKp_L1BPH-2M9-MU6MU4_BPH-0DR15-MU6MU4 9
HLT_mu6_mu4_bBmumux_BsmumuPhi_L1BPH-2M9-MU6MU4_BPH-0DR15-MU6MU4 85
HLT_mu6_mu4_bDimu 82
HLT_mu6_mu4_bDimu_L1BPH-2M9-MU6MU4_BPH-0DR15-MU6MU4 51
HLT_mu6_mu4_bDimu_novtx_noos_L1BPH-2M9-MU6MU4_BPH-0DR15-MU6MU4 22
HLT_mu6_mu4_bJpsimumu_L1BPH-2M9-MU6MU4_BPH-0DR15-MU6MU4 4
HLT_mu6_mu4_bJpsimumu_Lxy0_L1BPH-2M9-MU6MU4_BPH-0DR15-MU6MU4 172
HLT_mu6_mu4_bUpsimumu_L1BPH-8M15-MU6MU4_BPH-0DR22-MU6MU4-BO 35
HLT_mu80 17
HLT_mu80_msonly_3layersEC 15


L1_2EM8VH_MU10 784
L1_2MU10 4560
L1_2MU20_OVERLAY 419
L1_2MU4 309
L1_2MU4_J20_XE30_DPHI-J20s2XE30 892
L1_2MU4_J40_XE50 330
L1_2MU6 163
L1_2MU6_3MU4 2518
L1_3MU4 3831
L1_3MU6 941
L1_4MU4 308
L1_BPH-0DR3-EM7J15_2MU4 5972
L1_BPH-0DR3-EM7J15_MU6 5679
L1_BPH-0M9-EM7-EM5_2MU4 1383
L1_BPH-0M9-EM7-EM5_MU6 1307
L1_BPH-2M9-2MU4_BPH-0DR15-2MU4 27782
L1_BPH-2M9-2MU6_BPH-2DR15-2MU6 14733
L1_BPH-2M9-MU6MU4_BPH-0DR15-MU6MU4 27060
L1_BPH-8M15-2MU6_BPH-0DR22-2MU6 1626
L1_BPH-8M15-MU6MU4_BPH-0DR22-MU6MU4-BO 1631
L1_DR-MU10TAU12I_TAU12I-J25 997
L1_DY-BOX-2MU6 3
L1_EM15VH_MU10 1172
L1_EM7_MU20 2207
L1_EM8VH_MU20 1383
L1_FTK-MU 854
L1_LATE-MU10_J50 28
L1_LATE-MU10_XE40 19
L1_LATE-MU10_XE50 9
L1_LFV-MU11 8914
L1_LFV-MU6 15273
L1_MU10 31
L1_MU10_2J15_J20 1902
L1_MU10_2J20 1368
L1_MU10_3J20 330
L1_MU10_TAU12IM 77
L1_MU10_TAU12IM_3J12 687
L1_MU10_TAU12IM_J25_2J12 1396
L1_MU10_TAU12IM_XE35 583
L1_MU10_TAU20IM 1613
L1_MU10_TAU20IM_J25_2J20 817
L1_MU11 1
L1_MU11_2MU6 9095
L1_MU11_TAU20IM 1382
L1_MU20 4220
L1_MU20_J40 746
L1_MU20_XE30 647
L1_MU21 4064
L1_MU4 4
L1_MU4_J30_XE40_DPHI-J20s2XE30 393
L1_MU4_J50_XE50_DPHI-J20s2XE30 144
L1_MU4_XE60 199
L1_MU6 56
L1_MU6_2MU4 94
L1_MU6_3MU4 3577
L1_MU6_J20 47
L1_MU6_J30.0ETA49_2J20.0ETA49 23
L1_MU6_J40 65
L1_MU6_J75 493
