Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
303638, 1349, 0, 472.617340, 456.448920, 456.235950, 393.673850, 96.58, 99.95, 115.89
303832, 400, 0, 94.925684, 92.538487, 92.514687, 92.514687, 97.49, 99.97, 100.00
303846, 1536, 0, 508.144442, 483.551813, 483.395901, 424.644386, 95.16, 99.97, 113.84
303892, 1400, 0, 471.965670, 453.797109, 453.483107, 392.891187, 96.15, 99.93, 115.42
Total, 4685, 0, 1547.650000, 1486.330000, 1485.630000, 1303.720000, 96.04, 99.95, 113.95
