Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
279932, 407, 0, 45.900870, 44.645300, 44.641530, 44.641530, 97.26, 99.99, 100.00
279984, 552, 0, 67.693680, 65.279700, 65.275060, 65.275060, 96.43, 99.99, 100.00
280231, 780, 0, 91.396413, 88.295552, 88.284052, 88.284052, 96.61, 99.99, 100.00
280273, 14, 0, 1.984100, 1.627780, 1.627780, 1.627780, 82.04, 100.00, 100.00
280319, 696, 0, 97.902260, 93.640130, 93.637100, 93.637100, 95.65, 100.00, 100.00
280368, 62, 0, 8.782753, 8.228329, 8.227303, 8.227303, 93.69, 99.99, 100.00
Total, 2511, 0, 313.660000, 301.717000, 301.693000, 301.693000, 96.19, 99.99, 100.00
